  nnod     Lon    Lat      Cost    hs      dir   
  67063  134.375  32.600  18.014  1.65  75.68 
  66419  134.325  32.575  18.076  1.65  75.57 
  65775  134.275  32.550  18.138  1.66  75.53 
  65131  134.225  32.525  18.200  1.67  75.27 
  64487  134.175  32.500  18.261  1.67  74.80 
  63843  134.125  32.475  18.323  1.67  74.59 
  63199  134.075  32.450  18.385  1.68  74.55 
  62555  134.025  32.425  18.447  1.67  74.60 
  61911  133.975  32.400  18.509  1.60  78.62 
  61267  133.925  32.375  18.571  1.61  77.50 
  60623  133.875  32.350  18.633  1.62  75.75 
  59979  133.825  32.325  18.695  1.63  74.61 
  59335  133.775  32.300  18.757  1.64  74.68 
  58691  133.725  32.275  18.819  1.65  74.72 
  58047  133.675  32.250  18.881  1.67  74.72 
  57403  133.625  32.225  18.943  1.69  74.73 
  56759  133.575  32.200  19.005  1.71  74.95 
  56115  133.525  32.175  19.067  1.73  75.56 
  55471  133.475  32.150  19.129  1.76  76.77 
  54827  133.425  32.125  19.191  1.79  78.36 
  54183  133.375  32.100  19.254  1.82  79.25 
  53539  133.325  32.075  19.316  1.85  80.01 
  52895  133.275  32.050  19.378  1.87  80.80 
  52251  133.225  32.025  19.441  1.90  81.36 
  51607  133.175  32.000  19.503  1.87  83.63 
  50963  133.125  31.975  19.565  1.89  84.00 
  50319  133.075  31.950  19.628  1.90  84.44 
  49675  133.025  31.925  19.690  1.92  84.92 
  49031  132.975  31.900  19.753  1.94  85.36 
  48387  132.925  31.875  19.816  1.96  85.78 
  47743  132.875  31.850  19.878  1.97  86.03 
  47099  132.825  31.825  19.941  1.98  86.26 
  46455  132.775  31.800  20.003  1.99  86.22 
  45811  132.725  31.775  20.066  1.99  86.20 
  45167  132.675  31.750  20.129  2.00  86.20 
  44523  132.625  31.725  20.191  2.01  86.04 
  43879  132.575  31.700  20.254  2.02  85.83 
  43235  132.525  31.675  20.317  2.03  85.65 
  42591  132.475  31.650  20.379  2.04  85.49 
  41947  132.425  31.625  20.442  2.05  85.32 
  41303  132.375  31.600  20.505  2.03  87.91 
  40659  132.325  31.575  20.568  2.04  87.56 
  40015  132.275  31.550  20.631  2.05  87.02 
  39371  132.225  31.525  20.694  2.05  86.81 
  38727  132.175  31.500  20.756  2.06  86.94 
  38083  132.125  31.475  20.819  2.06  86.36 
  37439  132.075  31.450  20.882  2.07  85.63 
  36795  132.025  31.425  20.945  2.07  84.82 
  36151  131.975  31.400  21.008  2.07  84.02 
  35507  131.925  31.375  21.071  2.07  83.24 
  34863  131.875  31.350  21.134  2.06  82.54 
  34219  131.825  31.325  21.197  2.06  81.85 
  33575  131.775  31.300  21.260  2.05  81.26 
  32931  131.725  31.275  21.323  2.04  80.96 
  32287  131.675  31.250  21.386  2.02  80.96 
  31000  131.600  31.200  21.489  2.01  80.47 
  29713  131.525  31.150  21.593  1.99  82.93 
  28426  131.450  31.100  21.696  1.96  82.47 
  27139  131.375  31.050  21.799  1.92  82.28 
  25852  131.300  31.000  21.902  1.90  82.24 
