  nnod     Lon    Lat      Cost    hs      dir   
 149642  -72.538  25.794  11.530  1.70  37.69 
 149643  -72.513  25.794  11.566  1.70  37.59 
 149644  -72.488  25.794  11.603  1.71  37.50 
 149645  -72.463  25.794  11.640  1.71  37.40 
 149646  -72.438  25.794  11.676  1.71  37.30 
 149647  -72.413  25.794  11.713  1.72  37.21 
 149648  -72.388  25.794  11.750  1.72  37.02 
 149649  -72.363  25.794  11.787  1.73  36.75 
 149650  -72.338  25.794  11.823  1.73  36.48 
 149651  -72.313  25.794  11.860  1.73  36.21 
 149652  -72.288  25.794  11.897  1.74  35.94 
 149653  -72.263  25.794  11.934  1.74  35.67 
 149654  -72.238  25.794  11.970  1.75  35.41 
 149655  -72.213  25.794  12.007  1.75  35.14 
 149656  -72.188  25.794  12.043  1.76  34.89 
 149657  -72.163  25.794  12.080  1.76  34.60 
 149658  -72.138  25.794  12.116  1.77  34.30 
 149659  -72.113  25.794  12.153  1.78  34.01 
 149660  -72.088  25.794  12.189  1.79  33.72 
 149661  -72.063  25.794  12.226  1.80  33.43 
 149662  -72.038  25.794  12.262  1.81  33.14 
 149663  -72.013  25.794  12.299  1.82  32.85 
 149664  -71.988  25.794  12.335  1.83  32.62 
 149665  -71.963  25.794  12.372  1.83  32.45 
 149666  -71.938  25.794  12.408  1.84  32.28 
 149667  -71.913  25.794  12.445  1.85  32.12 
 149668  -71.888  25.794  12.481  1.86  31.95 
 149669  -71.863  25.794  12.518  1.75  34.09 
 149670  -71.838  25.794  12.554  1.76  33.94 
 149671  -71.813  25.794  12.591  1.77  33.80 
 149672  -71.788  25.794  12.628  1.77  33.72 
 149673  -71.763  25.794  12.664  1.78  33.71 
 149674  -71.738  25.794  12.701  1.79  33.69 
 149675  -71.713  25.794  12.738  1.80  33.67 
 149676  -71.688  25.794  12.774  1.80  33.66 
 149677  -71.663  25.794  12.811  1.81  33.64 
 149678  -71.638  25.794  12.848  1.82  33.62 
 149679  -71.613  25.794  12.884  1.83  33.61 
 149680  -71.588  25.794  12.921  1.83  33.62 
 149681  -71.563  25.794  12.958  1.84  33.67 
 149682  -71.538  25.794  12.994  1.84  33.72 
 149683  -71.513  25.794  13.031  1.85  33.78 
 149684  -71.488  25.794  13.068  1.85  33.83 
 149685  -71.463  25.794  13.104  1.86  33.88 
 149686  -71.438  25.794  13.141  1.86  33.93 
 149687  -71.413  25.794  13.177  1.87  33.99 
 149688  -71.388  25.794  13.214  1.87  34.03 
 149689  -71.363  25.794  13.251  1.87  34.08 
 149690  -71.338  25.794  13.287  1.88  34.14 
