  nnod     Lon    Lat      Cost    hs      dir   
 423730  -24.774  48.103  41.513  1.72 307.14 
 424333  -24.741  48.136  41.577  1.71 307.37 
 424936  -24.708  48.169  41.641  1.71 307.60 
 425539  -24.674  48.203  41.705  1.70 307.82 
 426142  -24.641  48.236  41.769  1.69 307.81 
 426745  -24.608  48.269  41.834  1.69 307.85 
 427348  -24.574  48.303  41.898  1.69 307.93 
 427951  -24.541  48.336  41.962  1.69 308.03 
 428554  -24.508  48.369  42.026  1.69 308.12 
 429157  -24.474  48.403  42.089  1.69 308.21 
 429760  -24.441  48.436  42.153  1.68 308.20 
 430363  -24.408  48.469  42.217  1.69 308.25 
 430966  -24.374  48.503  42.280  1.69 308.27 
 431569  -24.341  48.536  42.344  1.69 308.26 
 432172  -24.308  48.569  42.408  1.69 308.45 
 432775  -24.274  48.603  42.471  1.69 308.66 
 433378  -24.241  48.636  42.535  1.59 302.43 
 433981  -24.208  48.669  42.599  1.59 302.67 
 434584  -24.174  48.703  42.662  1.58 302.81 
 435187  -24.141  48.736  42.726  1.58 302.94 
 435790  -24.108  48.769  42.790  1.57 303.06 
 436393  -24.074  48.803  42.853  1.57 303.17 
 436996  -24.041  48.836  42.917  1.56 303.19 
 437599  -24.008  48.869  42.980  1.56 303.20 
 438202  -23.974  48.903  43.044  1.55 303.14 
 438805  -23.941  48.936  43.107  1.54 303.05 
 439408  -23.908  48.969  43.170  1.54 303.01 
 440011  -23.874  49.003  43.233  1.54 302.95 
 440614  -23.841  49.036  43.296  1.54 302.69 
 441217  -23.808  49.069  43.359  1.54 302.42 
 441820  -23.774  49.103  43.422  1.54 302.22 
 442423  -23.741  49.136  43.485  1.54 302.02 
 443026  -23.708  49.169  43.548  1.48 295.51 
 443629  -23.674  49.203  43.611  1.49 295.82 
 444232  -23.641  49.236  43.674  1.49 296.35 
 444835  -23.608  49.269  43.737  1.49 296.88 
 445438  -23.574  49.303  43.800  1.48 297.35 
 446041  -23.541  49.336  43.863  1.48 297.80 
 446644  -23.508  49.369  43.926  1.48 298.25 
 447247  -23.474  49.403  43.989  1.48 298.70 
 447850  -23.441  49.436  44.052  1.48 299.17 
 448453  -23.408  49.469  44.115  1.48 299.60 
 449056  -23.374  49.503  44.177  1.48 300.05 
 449659  -23.341  49.536  44.240  1.48 300.52 
 450262  -23.308  49.569  44.303  1.48 300.99 
 450865  -23.274  49.603  44.366  1.48 301.46 
 451468  -23.241  49.636  44.428  1.48 301.97 
